1,3, 1, 1, 3, 1
2,3, 3, 4
3,2, 3, 3, 3, 3
4,4
5,3, 3, 3, 3, 3
6,3, 2, 1, 1, 1
7,3, 2, 4
8,3, 1, 3, 1, 1
9,3, 3, 1, 3, 3
10,4
11,3, 3, 3, 3, 3
12,1, 1, 1, 1, 1
13,3, 4
14,2, 2, 3, 2, 1
15,3, 2, 1, 1, 3
26,1, 3, 3, 3, 4
27,2, 3, 1, 1, 1
28,4
29,1, 1, 1, 1, 1
30,3, 3, 3, 2, 3
31,3, 3, 1, 1, 1
32,3, 1, 1, 1, 1
33,1, 3, 2, 2, 1
34,1, 1, 1, 1, 1
35,3, 1, 1, 1, 1
36,1, 2, 2, 1, 1
37,1, 1, 1, 1, 1
38,1, 1, 1, 1, 1
39,1, 1, 1, 1, 3
40,2, 3, 1, 1, 1
51,3, 1, 1, 1, 1
52,2, 2, 1, 1, 1
53,3, 1, 1, 1, 1
54,1, 1, 2, 1, 1
55,1, 2, 1, 1, 1
56,2, 1, 1, 1, 1
57,1, 1, 1, 1, 1
58,2, 2, 2, 3, 3
59,3, 3, 4
60,3, 3, 3, 4
61,3, 3, 4
62,1, 1, 1, 1, 1
63,3, 1, 2, 1, 1
64,2, 1, 1, 1, 1
65,1, 1, 1, 1, 1
76,1, 2, 1, 3, 3
77,1, 1, 1, 1, 1
78,2, 3, 1, 4
79,2, 1, 1, 1, 1
80,1, 1, 1, 1, 3
81,3, 2, 3, 1, 1
82,1, 1, 1, 1, 3
83,1, 1, 3, 1, 3
84,2, 1, 1, 3, 1
85,1, 1, 1, 1, 1
86,3, 1, 1, 1, 1
87,2, 4
88,2, 3, 1, 1, 1
89,3, 3, 2, 3, 1
90,4
