model_name,total_round,Type 1,Type 2,Type 3,Type 4,SR,LR,,number_invalid_rounds,specific_types
web_paid_model,25,3,14,8,0,0,32,,2,33
web_paid_model,25,8,8,9,0,0,36,,3,333
web_paid_model,25,8,11,6,0,0,24,,3,333
web_paid_model,25,5,11,9,0,0,36,,3,333
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
model_name,total_round,Type 1,Type 2,Type 3,Type 4,,,,,
web_paid_model,23,3,14,6,0,,,,,
web_paid_model,22,8,8,6,0,,,,,
web_paid_model,22,8,11,3,0,,,,,
web_paid_model,22,5,11,6,0,,,,,
,89,24,44,21,0,,,,,
