1,3,3,1,2,1,,,3,,,,,,
2,3,0,3,1,2,,,3,,,,,,
3,3,2,1,1,1,,,3,,,,,,
4,2,3,3,2,1,,,3,,,,,,
5,2,2,2,2,3,,,3,,,,,,
6,3,4,,,,,,4,,,,,,
7,2,2,2,1,2,,,2,,,,,,
8,3,3,4,,,,,4,,,,,,
9,2,2,1,1,1,,,2,,,,,,
10,1,2,1,3,2,,,3,,,,,,
11,1,3,3,3,3,,,3,,,,,,
12,2,2,1,2,1,,,2,,,,,,
13,3,3,3,3,3,,,3,,,,,,
14,2,3,3,3,2,,,3,,,,,,
15,3,3,2,2,1,,,3,,,,,,
26,3,1,2,1,2,,,3,,,,,,
27,2,1,2,1,1,,,2,,,,,,
28,2,4,,,,,,4,,,,,,
29,2,2,1,2,1,,,2,,,,,,
30,1,2,2,2,1,,,2,,,,,,
31,2,1,2,2,2,,,2,,,,,,
32,3,2,3,3,3,,,3,,,,,,
33,1,1,1,1,1,,,1,,,,,,
34,1,1,2,1,1,,,2,,,,,,
35,1,1,1,1,1,,,1,,,,,,
36,2,1,1,2,1,,,2,,,,,,
37,2,2,2,2,3,,,3,,,,,,
38,2,1,1,1,3,,,3,,,,,,
39,3,1,2,2,1,,,3,,,,,,
40,1,1,1,2,2,,,2,,,,,,
51,2,2,2,2,3,,,3,,,,,,
52,2,2,2,2,1,,,2,,,,,,
53,1,3,1,3,1,,,3,,,,,,
54,1,1,2,2,1,,,2,,,,,,
55,3,1,2,1,3,,,3,,,,,,
56,1,2,1,2,2,,,2,,,,,,
57,2,2,2,2,2,,,2,,,,,,
58,2,2,2,2,2,,,2,,,,,,
59,3,3,3,3,2,,,3,,,,,,
60,3,3,3,3,1,,,3,,,,,,
61,2,2,1,1,1,,,2,,,,,,
62,2,2,2,1,1,,,2,,,,,,
63,2,2,2,2,1,,,2,,,,,,
64,2,2,1,2,2,,,2,,,,,,
65,2,2,3,2,3,,,3,,,,,,
76,3,3,3,2,3,,,3,,,,,,
77,2,2,3,2,2,,,3,,,,,,
78,3,3,1,2,1,,,3,,,,,,
79,2,2,2,2,1,,,2,,,,,,
80,2,2,2,2,2,,,2,,,,,,
81,2,3,3,3,3,,,3,,,,,,
82,2,2,2,3,2,,,3,,,,,,
83,2,1,2,1,1,,,2,,,,,,
84,2,2,2,1,1,,,2,,,,,,
85,2,2,2,2,3,,,3,,,,,,
86,2,2,1,2,2,,,2,,,,,,
87,2,1,3,2,1,,,3,,,,,,
88,2,3,2,1,1,,,3,,,,,,
89,2,1,1,2,3,,,3,,,,,,
90,2,3,3,3,3,,,3,,,,,,
,,,,,,,,,,,1,2,3,4
,,,,,,,,,,,2,24,31,3
